Mixture	Astrocyte	Microglia	MO	Pericyte	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
control.40	2.60080264918759	0	12.2008936308532	3.15713454649974	57.3430302132742	27.1443003177554	0.051	0.249134142655262	0.967513174269545	102.44616135757
sample.01	0.136137637647038	0.679503061466231	79.0172830801109	79.0886316671982	3.45837947271523	1.73634772353383	0.027	0.329024965625879	1.2664993304446	164.116282642671
sample.02	0	0	2.05143861239134	13.4392268225703	37.4491466714367	34.5732709711297	0.042	0.26085633483815	0.982976473069797	87.513083077528
sample.03	0	0	9.38676964528011	23.2476021814152	68.6216927710507	21.8837127647302	0.0679999999999999	0.216216007462409	0.974851575778513	123.139777362476
sample.04	0	0	15.9393398251718	7.73650956201448	13.988844046684	84.2854545617848	0.015	0.391294997071291	0.920604515309102	121.950147995655
sample.05	0	0.219965187152103	4.06264442092215	46.2234393059142	42.3139302992784	0	0.084	0.198516533650528	0.982347547125883	92.8199792132668
sample.06	0	0.042750489090486	63.6506847249336	49.0639202110272	17.5535981564916	0	0.023	0.358169255847431	1.25051260153145	130.310953581543
sample.07	9.84328418543387	0	8.20423101231926	45.8316889607213	4.49235757776649	9.29057195870464	0.074	0.208678290655161	0.977348518318914	77.6621336949456
sample.08	0	0	11.1654477110461	55.6854379104673	16.3387833016406	22.0789516913463	0.044	0.257572567727679	0.964328254049611	105.2686206145
sample.09	15.5374422297589	31.3291767193418	9.03276127368948	60.0766037282676	16.1426882367444	27.916271553647	0.119	0.154232289695229	0.986226282516272	160.034943741449
sample.10	0	0.226632224418007	5.88628482941435	24.668203011519	48.0983266371283	26.1545604536357	0.084	0.198020708827051	0.980070324299792	105.034007156115
sample.11	0	0.392717173837478	3.25232883845717	65.0659350733832	24.2806558353113	0.478620607013372	0.084	0.198027687489549	0.984484725259498	93.4702575280025
sample.12	0	0.319063108769158	3.07447000451893	20.3858708046127	63.8528564450727	0.272099268638539	0.094	0.181969126403641	0.985597327013651	87.9043596316121
sample.13	5.99511417121961	0	6.53005505656831	16.4590915268103	31.3677758349245	42.551224936728	0.295	0.074962357163273	0.998943536462279	102.903261526251
