Mixture	Astrocyte	Endothelial	Microglia	MO	Pericyte	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_WT_22280_tdTpositive	27.4695350043098	0.546546209784097	0	2.56918848273391	3.53992992373402	9.43897593503976	31.0047822048543	0.023	0.297886939102358	0.973309943704393	74.568957760456
opcBulk_12dpi_WT_22281_tdTpositive	32.2607403452231	1.21636897339769	0	2.96359177507813	3.52748886826627	12.4148994315061	27.7977140223219	0.017	0.312975833461394	0.970668512213457	80.1808034157931
opcBulk_150dpi_Tumor_16713_tdTpositive	4.50175842159073	0	0	3.34946374465341	9.7598705699496	0	84.9335142934256	0.054	0.221646915720373	0.980213917079636	102.544607029619
opcBulk_150dpi_Tumor_16839_tdTpositive	23.1188197507893	0	0	0	5.70346223920612	0.191648804743545	50.3918831139008	0.016	0.335857037342432	0.983780568184028	79.4058139086398
opcBulk_150dpi_Tumor_16840_tdTpositive	12.1063472595177	0	0	0.338908571367076	9.19062741275296	0	48.5857772523284	0.003	0.60244416068629	0.968188128190663	70.2216604959661
opcBulk_150dpi_Tumor_16844_tdTpositive	27.3772800790719	0.43219259367926	0	0.536106436112698	0.690098963371774	0.22149399924736	67.1230347182884	0.00900000000000001	0.434093513600866	0.976083923121561	96.3802067897714
opcBulk_150dpi_Tumor_21256_tdTpositive	38.8699319719475	0.271826488496155	0	0.53175869742292	2.35941706580222	5.70502456139891	57.1750936411946	0.035	0.264791730791906	0.987165281374381	104.913052426262
opcBulk_150dpi_Tumor_21349_tdTpositive	12.0229307221076	0	0	0.094685658325505	14.9265217224963	0.17703199933884	30.7382231506451	0.013	0.375861764229675	0.983740320349338	57.9593932529134
opcBulk_150dpi_Tumor_21354_tdTpositive	29.3201546337957	0	0	0.903856171774231	8.77602910172298	0	46.2367059518913	0.01	0.4265261861756	0.976830875757319	85.2367458591842
opcBulk_150dpi_WT_21590_tdTpositive	27.4776188202298	0.402693490969089	0	1.88014210382518	4.70095607729977	7.26572771659224	29.4303604115267	0.035	0.260903961262575	0.980458200981154	71.1574986204427
opcBulk_150dpi_WT_21591_tdTpositive	28.6685212997461	0	0	1.65544695326187	1.54530392662603	4.01914812061302	37.700481413021	0.113	0.146942828165845	0.990301297956982	73.588901713268
opcBulk_150dpi_WT_21592_tdTpositive	34.7971493285006	0.143892376797959	0	1.50082622935035	1.19016276865013	2.06970970201492	30.2782468398693	0.092	0.16153144130062	0.989453153806211	69.9799872451833
opcBulk_150dpi_WT_21593_tdTpositive	30.9680007768733	2.02248827152063	0	2.69734037820916	2.79517190528038	1.76519196262265	30.9989073177557	0.016	0.348663428562912	0.965527286661124	71.2471006122618
opcBulk_150dpi_WT_22062_tdTpositive	25.1877640990225	2.29350626556589	0	1.5070252854747	7.83901415122282	7.2714265228848	22.4767418313553	0.0580000000000001	0.214999733982729	0.98569708653812	66.5754781555261
opcBulk_150dpi_WT_22064_tdTpositive	30.6435862855966	0.357142988635985	0	2.24029099221152	7.39390505453639	2.91823045443844	26.1639231118361	0.02	0.302035251567269	0.974116483342291	69.717078887255
opcBulk_90dpi_CKO_20642_tdTpositive	26.9462131914961	0	0	3.09766190268029	1.77910814779568	5.23537621061475	40.020770043653	0.017	0.317044292154388	0.967747760765135	77.0791294962398
opcBulk_90dpi_CKO_20647_tdTpositive	33.3088535526176	0.27473884605345	0	3.07433342351062	3.66942563339914	1.41699252351458	30.5183168493863	0.023	0.298100784424794	0.969217411861927	72.2626608284817
opcBulk_90dpi_CKO_22146_tdTpositive	27.4397830679394	0.876125925597996	0	2.01374109952781	1.4630107519053	9.71989109980693	30.3409370733263	0.05	0.226749111155337	0.982686027049223	71.8534890181037
opcBulk_90dpi_CKO_22149_tdTpositive	31.2064384623501	1.02731143837392	0	2.72225572528611	1.07332840995422	2.63336240951764	39.5910175642954	0.032	0.270384224679307	0.97548220826473	78.2537140097774
opcBulk_90dpi_CKO_22152_tdTpositive	24.1437278954691	1.21628723750983	0	1.24499953492309	0.0664054924541677	10.5016989102005	27.0315009162757	0.032	0.272149162630418	0.982573781204701	64.2046199868324
