Mixture	Astrocyte	Microglia	MO	Pericyte	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_150dpi_Tumor_16713_tdTpositive	1.10219031184256	0	0.445225107893148	0.899891223103724	0	9.48576231957739	0.078234704112337	0.199483740106245	0.982713538246854	11.9330689624168
opcBulk_150dpi_Tumor_16839_tdTpositive	1.81025998965815	0	0.0103460326119705	0.109095248046449	0.087547307878316	6.70849047952208	0.0190571715145437	0.317255575896656	0.986495847593946	8.72573905771697
opcBulk_150dpi_Tumor_16840_tdTpositive	1.03016090746198	0	0.11253698980587	0.368582189727966	0	5.6502888985271	0.00902708124373119	0.372546026693601	0.97780679381783	7.16156898552292
opcBulk_150dpi_Tumor_16844_tdTpositive	2.55703316061177	0	0.180756136823048	0.0171481076135142	0	7.91425047139141	0.0200601805416248	0.305415988718849	0.981533198196454	10.6691878764397
opcBulk_150dpi_Tumor_21256_tdTpositive	3.21879443961954	0	0.0800391473084271	0.12399216659234	0.301785456527828	8.56132433370847	0.0200601805416248	0.309640222039301	0.986167675626898	12.2859355437566
opcBulk_150dpi_Tumor_21349_tdTpositive	0.172375131419024	0	0.0506217914819668	1.39430544679604	0	4.18728171139961	0.0190571715145437	0.314622220314737	0.985168940728127	5.80458408109665
opcBulk_150dpi_Tumor_21354_tdTpositive	2.75233397177721	0	0.294155431088946	0.707362337077024	0	5.27945186189453	0.0401203610832498	0.25165335081221	0.979568191104545	9.03330360183771
opcBulk_150dpi_WT_21590_tdTpositive	3.13917494039939	0	0.426056494813415	0	0.510278837566948	3.88742298529613	0.074222668004012	0.208663323168881	0.978780342310228	7.96293325807588
opcBulk_150dpi_WT_21591_tdTpositive	2.2001382793543	0	0.227050820855642	0.418645706145026	0.42394486400572	5.42879109672951	0.192577733199599	0.121719289989311	0.991951496128974	8.69857076709019
opcBulk_150dpi_WT_21592_tdTpositive	1.84843439483305	0	0.18991724144782	0	2.21831338164368	4.02214332430984	0.154463390170512	0.144765862769517	0.990913684047048	8.27880834223438
opcBulk_150dpi_WT_21593_tdTpositive	1.92120274391865	0	0.993034182148131	0	0.0220925105326981	5.25295846685662	0.029087261785356	0.278652982334494	0.958691310228175	8.18928790345609
opcBulk_150dpi_WT_22062_tdTpositive	3.26226376728236	0	0.385608585354174	0.326158817911672	1.53124169969397	1.96648618342825	0.114343029087262	0.167557478723359	0.984806017725439	7.47175905367043
opcBulk_150dpi_WT_22064_tdTpositive	2.43347214414203	0	0.519555585869081	0.355171740806342	0.637583250275896	3.78504751214997	0.0391173520561685	0.25446980723549	0.96893200095827	7.73083023324332
opcBulk_90dpi_CKO_20642_tdTpositive	1.83589642734414	0	0.698291315573279	0	0.681665458959052	5.49927137967681	0.0310932798395186	0.275103081733641	0.962222269667383	8.71512458155328
opcBulk_90dpi_CKO_20647_tdTpositive	3.73864175778622	0	0.669005807832904	0	0.102813690857893	3.54264669228803	0.0341023069207623	0.262648640801248	0.964540459948558	8.05310794876505
opcBulk_90dpi_CKO_22146_tdTpositive	3.23216014946659	0	0.494884453859143	0	1.11787458952016	3.27488212896201	0.0972918756268807	0.183819858470907	0.981588701809547	8.11980132180791
opcBulk_90dpi_CKO_22149_tdTpositive	2.55124718013985	0	0.813154101342131	0	0	5.57487535437765	0.0551654964894684	0.231626987624444	0.970867629444956	8.93927663585963
opcBulk_90dpi_CKO_22152_tdTpositive	1.28229301613497	0	0.256212996907306	0	1.74867720414475	4.05588469224667	0.0752256770310933	0.206962986148096	0.983082840894111	7.34306790943369
opcBulk_90dpi_CKO_22154_tdTpositive	3.39162598282628	0	0.407598448434439	0	0.0766235008720869	4.42081202707718	0.0752256770310933	0.20718438236814	0.979722872853125	8.29665995920998
opcBulk_90dpi_CKO_22212_tdTpositive	1.72361027873826	0	0.320458896067767	0	1.4501196113544	4.65787240543573	0.0972918756268807	0.183599137000652	0.984408055577256	8.15206119159616
opcBulk_90dpi_WT_22184_tdTpositive	1.81067559789041	0	0.603508175632843	0	0.965920195103946	4.20991840418754	0.0561685055165496	0.229535582652344	0.971836609394234	7.59002237281474
opcBulk_90dpi_WT_22185_tdTpositive	1.70597583384646	0	0.647583114366901	0	0.983313842548971	4.40256021446096	0.045135406218656	0.242599974103287	0.968741785001769	7.73943300522329
opcBulk_90dpi_WT_22254_tdTpositive	1.52078972758928	0	0.513254903652478	0	0.844207712389454	4.53414850939547	0.078234704112337	0.198951221086395	0.978393613040369	7.41240085302668
opcBulk_90dpi_WT_22255_tdTpositive	1.62110366536267	0	0.587783331051705	0	0.49279961176599	5.15991530805242	0.0752256770310933	0.206699042591467	0.976643901967799	7.86160191623278
