symbol	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC
Fzd10	105.786521581257	1	1.28112898270431	1.39652543734344	10.0491033439677	5.1332231549164
Kcnn3	103.704403607724	1	1	1	8.09765652808088	7.80542850237649
AU021092	4.90783773442604	1084.23396659247	1.18130221397768	1	3.3968835872991	1.3381336092004
Cldn5	53.9984701691561	12307.1012337441	30.6066131836529	5.82939183632334	42.1939786299923	17.3738073932813
Icam2	3.3761285721717	781.510594929157	3.75707773542754	1	2.21887927086095	1
Slco1a4	5.32341102612793	718.006081273818	1	1	1.28903913412696	2.78365850931758
Apold1	14.5097466342417	2704.19256532088	10.1443184581351	1.22972340066605	11.8086564375014	8.5189836635731
Flt1	6.50895878431969	760.961742758166	1.14931785363593	1	2.56747904627001	2.37610296520422
Slc38a5	13.7364309886999	1376.74607753976	2.30630933790155	1	5.27081266937009	2.53893936655639
Ctla2a	14.4368902321158	2323.49697809008	7.90930361884368	1.80930677782098	8.39456325020132	11.859528111431
Nostrin	1.80790017525728	302.838046903832	1	1	1	1
Tek	4.31459392513949	432.873147946212	1	1	1	1.05056916524305
Esam	12.9587580323326	1689.94165169508	6.43993762440084	1	8.86803286074325	5.22074674808255
Car4	12.9681197306336	2183.16565808044	8.27769493691225	2.43964408074875	12.3381600533036	9.0472557236668
Aplnr	2.24583820744696	315.591569406675	1.31652508235775	1	1.04540609611961	1
Ly6c1	17.3009179148346	3611.08351383041	28.0957608907037	7.67547533533634	8.089689120673	15.0656463707419
Emcn	3.08951790284689	358.491980565701	1	1	1.02543103470863	1.51601609586821
Tie1	8.80624819672601	920.8849314496	4.0861102158493	1	4.32900343060432	1.60708667492625
Cd93	7.71834996386096	659.502487008889	1.48439740544784	1	3.89263366713747	1.02219556648584
Lsr	5.47543467299259	639.418790734616	2.88856467204913	1	4.0857250707332	1.36961024851853
Kdr	11.0930343003158	970.725932704893	3.40400585040211	1.09963421628048	3.64972283605968	3.47168452560449
Abcb1a	5.78145272108172	477.82210086717	1.00505498920851	1	1.40544809661896	2.07836210430411
Pglyrp1	17.345179925987	1951.08916080396	16.6243732390754	2.12171814163277	7.38164875551733	4.06658271101605
Prnd	3.48171032228747	514.79013160658	1	1	6.24425251554516	1
Ocln	2.42664077284689	307.657234777985	1.68989486831264	1	1.79494123308182	1
Cdh5	7.36157453444476	663.321605928537	2.30080074249576	1	2.90654877436667	3.96874539822746
Slc16a4	4.59636505161068	408.869877944919	1	1	3.2809680900401	1.70081634921423
Ly6c2	1	303.170689028162	4.16006091770006	1	1	1.57896708612647
Ptprb	3.93149256357596	336.890473746714	1	1.76370270231699	1.2336682227736	1.86527749894268
Tm4sf1	7.48705573682293	511.936445052978	1.06775752605284	1	2.04814801063573	3.59176944925828
Wfdc1	5.79082672122017	546.746403160782	3.11605894844518	1	1.39060815778892	5.60897694003003
Cd40	1.17542580633622	235.446448090395	3.09362384050807	1	1.00832423996448	1.0886042958942
Myct1	1	159.505535748306	1	1	1	1
Slc22a8	7.1707804166663	681.935373460701	2.03080025719555	1	4.03671009438619	8.11324509158759
Erg	3.30394631073819	235.995942303592	1	1	1.53460748109499	1
Sox17	1.29953166328725	161.375287965044	1.03971224972064	1	1.03651087126843	1
Nos3	4.41169970925081	323.928290632042	1.55591174696631	1	2.43756404315594	1.41923601371321
Akr1c14	1.03168621681176	146.915152157165	1	1	1	1
Robo4	4.09462969039478	297.317694697703	1.07501790767129	1	2.8298380618173	1.20728644383719
Ly6a	6.01200145677016	943.235576849578	13.1691579051384	5.94258265432417	1.60565105385908	6.4262551222178
Mmrn2	2.13671844888	169.869149961481	1	1	1	1
Foxq1	5.01693534968559	319.364374487347	1	1	2.6721142367183	1.93745980603186
Gpr84	1	1	517.604520229915	1	1.67203754848669	7.41345681240754
Tnf	1.90317544595574	23.7840052423808	1478.12999024147	1.05089384162451	1	19.4830465818689
Ncf1	1.39056280006476	2.89998407850614	1107.834874329	2.96047311200042	1	28.9174821319836
Ccl3	6.52564499663962	4.04553286763729	6776.2714927091	5.48826299806858	8.40977071782468	214.930884746256
Osm	1	1	577.778858062701	1	1	16.5455770340106
Slfn2	1	1.51039670512847	178.229893343546	1	1	2.04582136921841
Ccl4	7.32438854019478	1.54749671852657	7704.33876855807	10.3971796062172	7.33991753161998	258.148001599011
Bcl2a1b	2.23596721307546	2.83768426121589	1561.63131781933	3.5024108147685	4.7784397422201	44.9850719239576
Gdf15	25.6365470179958	47.8392953826538	2133.70540407441	1	2.22213305724108	9.07901154510029
Lrrc25	1	1	352.248199044191	1	1	10.2849409807866
Cd83	8.06689792438923	50.1749448800688	5103.3099339696	5.18704886091833	8.93623643828615	152.25570582258
Tmem119	2.65177670005644	1	2448.57164160296	9.56138781666674	1.07916734247766	94.0506238784936
P2ry6	1	1	353.338141224235	1	1	12.351362328714
Ccl9	1	1	571.677852806651	1.87428161845171	1	22.1334619940628
C1qa	10.5704276416788	1.71235767120866	10933.6799375409	69.262756560699	12.401195096557	434.801803200354
Tlr2	1	3.81450566249721	433.465165398311	1	1	14.8259593711913
Gna15	1	1	276.099361697722	1	1	9.83352180726938
Selplg	4.82461580406307	7.6733928527239	3883.66635428441	18.6333045513199	1.13800022085631	172.202421265372
Slc15a3	1.18786050363273	1.31245987691625	1052.01373358312	3.544611350196	1.39518813198274	47.973359481946
Bcl2a1c	1	1	119.782530085809	1	1	2.74455241776488
Pld4	1.55404191796474	1	1639.69536675259	8.07357187104926	2.95775607281655	79.1220353309927
Irf8	1.02871901361833	4.02046176364993	693.678091364068	2.15897892185789	4.95720780340159	27.4380160094479
Ptafr	1	1	265.153440339349	1	1	11.3556135467137
Ccr7	1	1.79879143965845	124.532344650524	1	1	2.47310959678071
C1qb	5.65793981269588	1.47060305710342	5292.56621395879	34.90072351706	9.83526840966586	262.113623361276
C1qc	4.98678846682565	1.16054142170142	4957.53161863022	31.1091916371661	11.9014484623576	245.901172377098
Cd14	19.4813472525491	7.57927334348122	1486.21295306097	3.43036837610238	5.02226811021551	53.0158003934317
Trem2	2.58938424086725	1	2382.03218091374	19.4414965721809	5.64515231096945	116.159062459183
Gpr183	1	1	528.151301482679	1	1	28.1238955271757
Cd37	1	1.50374962694745	891.381633351633	6.61860639002198	1.23789608896262	44.8923971919253
Crybb1	5.38063179285229	1	1836.09881482808	16.9462646983704	5.44215048061089	88.8667245928829
C5ar1	1	1	269.442812020888	1	1	13.2859175947559
Hck	1	1	283.742347895685	1	3.37416876579237	11.9384039241549
Ccl12	1	1	252.950039807848	1	2.68605205941925	10.833904554709
Ccrl2	8.18978097869753	113.007271621431	2966.50763345645	4.40595910362946	1.93755011528864	67.313130717562
Csf1r	7.91414108801243	1.93151185696351	8297.83513812307	54.8711924052682	9.8690296560239	473.810352641029
Lag3	3.60618031362707	3.23120325318516	1352.17605507815	9.27913770059458	6.14031640084363	69.5815632097341
Plau	3.6782567792585	3.03889659263867	590.194939911091	9.59021454054427	2.06656557240505	21.8332336662823
Cd300a	1	1	158.546081836209	1	1	6.86018193434293
Tbxas1	1	1	322.678648864073	2.41719920460971	1.24151226387323	16.6168737388158
Mog	1	1	2.59410318466913	5752.93940640908	3.5874125698672	10.7738987069301
Cldn11	1	2.57496243867874	5.17862928871738	11277.9723253126	7.35101792923115	42.0869830730114
Mobp	1	1	8.5288585026359	8466.39288098613	1	35.4210340861089
Mbp	8.35840718538744	2.45243469129784	480.78269339933	317412.195787913	61.2201141083059	1223.98848871659
Opalin	1	1	1.67464500581011	898.30618164655	1	2.27197718968599
Plp1	20.7413235876931	1.03844509090276	18.2963829128071	34977.5465546715	28.61254320266	248.663624487538
Mag	1.49085476007615	1	41.0693253951391	6707.74265071505	3.72253722937345	22.28354526485
Mal	2.6248602797114	94.9975090565026	3.06943972917992	8608.82911207824	1	17.1858629085705
Gjc2	1.29964484019181	1	1.07934380388665	687.027523629767	3.19701731727525	3.25837337082158
Tmem125	1	1	1	361.075062172302	1	1.23763948955988
Ermn	1	1	1	403.41211737398	1	2.41130279551985
Ppp1r14a	1	13.4525641927275	1.21363303561169	857.571504709084	1.19786115180372	3.27049033230391
Nkx6-2	1	1	1	178.57099252212	1	1
S1pr5	1	1	1	236.304005799986	1.14391923352094	3.0803032371582
Tmem88b	1.45921689451703	1.25184584711123	1	657.190734945446	1.55026215158577	17.1226327361969
Hapln2	1	1	1	141.307825617048	1	1
Enpp6	1	1	1	163.273204307061	1.39720311501751	2.64954582855582
Cldn14	1	1	1	105.012849050884	1	1
Lgi3	13.2226127627386	1	4.50632462962103	866.214476229227	9.76727301276814	22.5157835940277
Cnp	246.402517113131	26.6832678763502	112.237177793132	15844.5826905195	48.7210381266773	533.524187369228
Gpr37	26.5906898326125	1	1	641.895773769602	7.24157402289249	4.95846659258946
Lpar1	13.3302464593414	2.56327975013861	1	459.471839420045	2.16315111123995	11.2550210268194
Gsn	16.2752940435192	2.82046747676994	15.6343900117855	4722.10207348515	9.5491922213573	274.45857136647
Fa2h	1	1	1	1286.84184553629	1.66284675852198	84.7531523281222
Gpr62	1.70395949025761	1	1.10264715217062	198.572014275271	6.07001559606047	4.99831640699046
Gjb1	1	1	1	603.38010411638	1	44.1311751170975
Aspa	32.7596209090232	1	1	414.306486114572	1.25782231787659	2.52596426332602
Pdlim2	5.47079688027318	28.4798406021571	17.5806244940434	685.556866568416	9.05775996230772	7.8536812407743
Plekhb1	77.3691196035557	3.14140878581319	17.272031838454	6920.7054055731	29.7433804672435	590.305612153315
Kndc1	1.32202680325203	1	1	187.953604564082	13.8082418149204	6.12372926293061
Ndrg1	3.82531048379254	45.5124554843552	7.22644510873623	853.636087962361	47.8192509744133	4.35051778747369
Adssl1	1	1	20.5332358057816	232.874108036832	3.87837457800878	4.67500292199874
Tspan2	2.29154691468372	90.9425013381285	1.01920702858016	1849.56848538333	56.2268782026322	114.481541797956
Adamts4	2.40537335625983	13.8560093914378	1.11670735842866	204.461595826992	5.42262262206731	6.64160293341605
