symbol	Astrocyte	Microglia	MO	Pericyte	Neuron	OPC
Dio2	548.207264606701	1.87921439766313	5.68040249975988	19.0192999389944	14.7673943005212	66.2954958884198
Sox9	455.747618781323	1	1.11169367309473	20.241408690989	42.5090973033683	24.7533962113662
Ppp1r3g	109.018027291975	2.90667666659251	2.31238697785892	2.34463425271651	3.47171810391049	10.4337381831408
Tnc	577.997155524882	1	1	56.5927788674914	53.6826922574388	1.57816615382829
Slc7a11	169.177747270237	1.8415989977641	1	8.20434949297366	5.64703107703886	16.7401784103082
AI464131	468.037144554428	2.62162111630348	17.2439778113334	22.9906829405576	16.8649068253773	32.9068023367621
Aifm3	205.314699871135	1.8397052876486	2.61380784855456	8.47927166648027	21.2746149527606	7.38306028750296
Slc39a12	616.917199559534	14.7021712043671	11.1080455077351	13.4831335511643	15.5172969662767	70.2805070774341
Cbs	445.050797140927	5.78654641247573	6.10017916556996	38.0762090142646	19.0614747853647	21.23341775656
Mlc1	1862.37244823553	35.1897631698628	45.5059997654555	46.2830529461116	98.3654807810082	162.453596904445
Pamr1	200.535298240443	1.79604559918105	1.95600019549827	5.35492133453754	8.4325549328798	25.145418245651
Sorcs2	258.942318848462	1.28304078116037	2.02581058417841	14.8496571852975	24.0245913209053	13.3211334437175
Cth	121.272756087663	1.15915791090033	1.42146960439296	12.013593967772	5.97154101063047	6.23668131237468
Gja1	2452.62431287316	10.8864858541158	19.1639576278788	264.786086788059	80.776583354871	171.989059766273
Adhfe1	106.497137221673	1	1.83611322753953	4.70797679698281	3.8586462492143	12.4850859852166
Tnf	1.90317544595574	1478.12999024147	1.05089384162451	1	1	19.4830465818689
Gdf15	25.6365470179958	2133.70540407441	1	1	2.22213305724108	9.07901154510029
Gpr84	1	517.604520229915	1	1.9159916272112	1.67203754848669	7.41345681240754
Osm	1	577.778858062701	1	1.24738573257738	1	16.5455770340106
Ccl3	6.52564499663962	6776.2714927091	5.48826299806858	8.84998904513889	8.40977071782468	214.930884746256
Cd83	8.06689792438923	5103.3099339696	5.18704886091833	12.9671960679938	8.93623643828615	152.25570582258
Slfn2	1	178.229893343546	1	1.52190354441399	1	2.04582136921841
Ccl4	7.32438854019478	7704.33876855807	10.3971796062172	2.72431235600141	7.33991753161998	258.148001599011
Bcl2a1b	2.23596721307546	1561.63131781933	3.5024108147685	3.39776708970825	4.7784397422201	44.9850719239576
Ncf1	1.39056280006476	1107.834874329	2.96047311200042	8.52516934174908	1	28.9174821319836
Osgin1	1.1324013600315	248.391809989286	1	2.29044628797123	1.04649840197392	4.1268631641544
Lrrc25	1	352.248199044191	1	1.64380896025668	1	10.2849409807866
Ccrl2	8.18978097869753	2966.50763345645	4.40595910362946	53.8288530716985	1.93755011528864	67.313130717562
Tmem119	2.65177670005644	2448.57164160296	9.56138781666674	9.47050916022907	1.07916734247766	94.0506238784936
Tlr2	1	433.465165398311	1	4.3247635924315	1	14.8259593711913
Selplg	4.82461580406307	3883.66635428441	18.6333045513199	3.83779485937635	1.13800022085631	172.202421265372
Ccr7	1	124.532344650524	1	1	1	2.47310959678071
C1qa	10.5704276416788	10933.6799375409	69.262756560699	45.0817749468134	12.401195096557	434.801803200354
Slc15a3	1.18786050363273	1052.01373358312	3.544611350196	3.1337241706561	1.39518813198274	47.973359481946
Cd14	19.4813472525491	1486.21295306097	3.43036837610238	1	5.02226811021551	53.0158003934317
Gna15	1	276.099361697722	1	2.52411831968876	1	9.83352180726938
Bcl2a1c	1	119.782530085809	1	1	1	2.74455241776488
Ccl9	1	571.677852806651	1.87428161845171	8.51168974417442	1	22.1334619940628
P2ry6	1	353.338141224235	1	6.39729920139764	1	12.351362328714
Cxcl2	9.93783517511819	361.697951661645	1	2.68560041517113	3.25459340138859	5.84814676615389
C5ar1	1	269.442812020888	1	1	1	13.2859175947559
Pld4	1.55404191796474	1639.69536675259	8.07357187104926	13.6230759481652	2.95775607281655	79.1220353309927
Gpr183	1	528.151301482679	1	3.1311247027776	1	28.1238955271757
